Target_Item,Rank,Peer_Item,Latent_Similarity
1556.0,1,2421.0,0.2195556107995469
1556.0,2,1722.0,0.2190815602996721
1556.0,3,256.0,0.2172825122202204
1556.0,4,1831.0,0.20949274174633103
1556.0,5,1370.0,0.20048750878769228
1556.0,6,2431.0,0.19436944661644395
1556.0,7,2407.0,0.18681717691105157
1556.0,8,2134.0,0.16803065520976354
1556.0,9,1591.0,0.1661880536579147
1556.0,10,79.0,0.16257752077471807
1499.0,1,2722.0,0.29013401378367976
1499.0,2,1347.0,0.2751543921500688
1499.0,3,1591.0,0.26349055630251095
1499.0,4,3826.0,0.2566048717286242
1499.0,5,1438.0,0.2350877802916651
1499.0,6,2949.0,0.22602111566797875
1499.0,7,1042.0,0.2162708125122961
1499.0,8,2067.0,0.20099841885072905
1499.0,9,799.0,0.19889553583142244
1499.0,10,379.0,0.19776857036021558
