target_item,other_item,No_coRated_items
1556,260,43
1556,457,41
1556,480,41
1556,2571,40
1556,1097,38
1556,608,38
1556,2028,37
1556,648,37
1556,356,36
1556,1923,35
1556,733,35
1556,1580,35
1556,364,35
1556,593,34
1556,1240,34
1556,296,34
1556,736,34
1556,377,33
1556,2628,33
1556,3578,33
1556,1265,33
1556,858,33
1556,2706,32
1556,1610,32
1556,1270,32
1556,1,31
1556,10,31
1556,380,31
1556,231,31
1556,1210,31
1556,1101,31
1556,2054,31
1556,153,31
1556,1917,31
1556,344,30
1556,527,30
1556,2858,30
1556,1608,30
1556,2355,30
1556,1246,30
1556,165,29
1556,367,29
1556,2716,29
1556,1544,28
1556,110,28
1556,4993,28
1556,5349,28
1556,2,28
1556,589,28
1556,1573,28
1556,2916,28
1556,318,27
1556,1220,27
1556,780,27
1556,95,27
1556,1645,27
1556,2640,27
1556,474,27
1556,50,26
1556,1320,26
1556,2167,26
1556,2353,26
1556,1197,26
1556,2671,26
1556,1200,26
1556,1213,26
1556,47,25
1556,6377,25
1556,832,25
1556,2762,25
1556,1036,25
1556,592,25
1556,1259,25
1556,2396,25
1556,1198,25
1556,34,25
1556,1089,24
1556,1721,24
1556,150,24
1556,1527,24
1556,3052,24
1556,2959,24
1556,3527,24
1556,1291,24
1556,2329,24
1556,357,24
1556,1258,24
1556,3793,24
1556,1370,24
1556,5388,24
1556,32,24
1556,2378,24
1556,2502,24
1556,1961,24
1556,778,23
1556,4226,23
1556,1704,23
1556,597,23
1556,4022,23
1556,1676,23
1556,39,23
1556,1909,23
1556,1387,23
1556,19,23
1556,2617,23
1556,1127,23
1556,1722,23
1556,1196,23
1556,2455,23
1556,4306,23
1556,2700,23
1556,3623,23
1556,588,23
1556,786,23
1556,3897,23
1556,1073,23
1556,1079,23
1556,2699,23
1556,924,23
1556,1831,22
1556,1377,22
1556,1393,22
1556,5418,22
1556,316,22
1556,4262,22
1556,5445,22
1556,1552,22
1556,6874,22
1556,2997,22
1556,2683,22
1556,1485,22
1556,349,22
1556,2012,22
1556,3703,22
1556,485,22
1556,2003,22
1556,3996,22
1556,180,21
1556,1732,21
1556,434,21
1556,2542,21
1556,208,21
1556,2001,21
1556,1339,21
1556,223,21
1556,4085,21
1556,293,21
1556,586,21
1556,539,21
1556,595,21
1556,3471,21
1556,1080,21
1556,3175,21
1556,3113,21
1556,7361,21
1556,173,20
1556,111,20
1556,2011,20
1556,2081,20
1556,2006,20
1556,1784,20
1556,58559,20
1556,2268,20
1556,2273,20
1556,2115,20
1556,1214,20
1556,784,20
1556,3147,20
1556,1307,20
1556,5266,20
1556,1584,20
1556,1391,20
1556,1569,20
1556,8665,20
1556,7153,20
1556,7438,20
1556,1586,20
1556,1193,20
1556,2529,20
1556,2987,20
1556,2985,20
1556,1028,20
1556,2797,20
1556,541,20
1556,919,20
1556,1380,20
1556,1617,19
1556,1682,19
1556,2080,19
1556,6,19
1556,163,19
1556,104,19
1556,1266,19
1556,1644,19
1556,2947,19
1556,1222,19
1556,1136,19
1556,3114,19
1556,1517,19
1556,3301,19
1556,2194,19
1556,3868,19
1556,1876,19
1556,1562,19
1556,4011,19
1556,3448,19
1556,912,19
1556,1997,18
1556,70,18
1556,3253,18
1556,587,18
1556,1304,18
1556,2294,18
1556,4027,18
1556,2470,18
1556,1221,18
1556,2291,18
1556,3717,18
1556,288,18
1556,1247,18
1556,1407,18
1556,3481,18
1556,442,18
1556,2616,18
1556,1208,18
1556,353,18
1556,1375,18
1556,5378,18
1556,4963,18
1556,4886,18
1556,1673,18
1556,6711,18
1556,6333,18
1556,8644,17
1556,1059,17
1556,2710,17
1556,1206,17
1556,508,17
1556,3450,17
1556,440,17
1556,520,17
1556,1090,17
1556,2826,17
1556,1912,17
1556,1347,17
1556,1466,17
1556,4973,17
1556,1479,17
1556,1088,17
1556,1288,17
1556,1690,17
1556,44,17
1556,1748,17
1556,1954,17
1556,2000,17
1556,3256,17
1556,329,17
1556,3948,17
1556,3751,17
1556,2539,17
1556,2424,17
1556,3753,17
1556,379,17
1556,2005,17
1556,3273,17
1556,2918,17
1556,4370,16
1556,4369,16
1556,543,16
1556,466,16
1556,2949,16
1556,1092,16
1556,5481,16
1556,4367,16
1556,2871,16
1556,1639,16
1556,6539,16
1556,253,16
1556,3489,16
1556,1591,16
1556,3386,16
1556,292,16
1556,1242,16
1556,2406,16
1556,337,16
1556,3005,16
1556,2321,16
1556,2407,16
1556,2019,16
1556,1345,16
1556,3255,16
1556,785,16
1556,2078,16
1556,2174,16
1556,1499,16
1556,1597,16
1556,2890,16
1556,1911,16
1556,1274,16
1556,145,16
1556,161,16
1556,2021,16
1556,590,16
1556,1275,16
1556,1777,16
1556,7090,15
1556,2712,15
1556,500,15
1556,3418,15
1556,1183,15
1556,1035,15
1556,2701,15
1556,5902,15
1556,552,15
1556,2096,15
1556,1396,15
1556,1805,15
1556,1641,15
1556,6934,15
1556,673,15
1556,8961,15
1556,21,15
1556,22,15
1556,33493,15
1556,788,15
1556,1333,15
1556,2058,15
1556,1278,15
1556,2302,15
1556,2232,15
1556,708,15
1556,4270,15
1556,1513,15
1556,4002,15
1556,4148,15
1556,4034,15
1556,1250,15
1556,3752,15
1556,3798,15
1556,3702,15
1556,3408,15
1556,370,15
1556,2572,15
1556,2395,15
1556,4878,15
1556,1438,15
1556,1625,15
1556,25,14
1556,5679,14
1556,168,14
1556,141,14
1556,1779,14
1556,3247,14
1556,5669,14
1556,2023,14
1556,750,14
1556,1225,14
1556,3257,14
1556,8636,14
1556,3552,14
1556,1590,14
1556,5502,14
1556,5218,14
1556,5299,14
1556,555,14
1556,5816,14
1556,5459,14
1556,5464,14
1556,6281,14
1556,6502,14
1556,256,14
1556,8360,14
1556,1653,14
1556,435,14
1556,1027,14
1556,471,14
1556,3107,14
1556,3033,14
1556,2427,14
1556,3556,14
1556,2915,14
1556,805,14
1556,2953,14
1556,2161,14
1556,4025,14
1556,4246,14
1556,4019,14
1556,339,14
1556,5989,14
1556,8798,13
1556,8874,13
1556,8949,13
1556,410,13
1556,454,13
1556,368,13
1556,553,13
1556,1047,13
1556,2770,13
1556,2605,13
1556,494,13
1556,4896,13
1556,1408,13
1556,1394,13
1556,2804,13
1556,3755,13
1556,3949,13
1556,2485,13
1556,2410,13
1556,170,13
1556,2124,13
1556,2193,13
1556,3977,13
1556,1215,13
1556,4310,13
1556,2409,13
1556,903,13
1556,830,13
1556,2968,13
1556,904,13
1556,908,13
1556,653,13
1556,3263,13
1556,3176,13
1556,3617,13
1556,2020,13
1556,594,13
1556,2144,13
1556,596,13
1556,3252,13
1556,3082,13
1556,3101,13
1556,2002,13
1556,5991,13
1556,1884,13
1556,1968,13
1556,62,13
1556,16,13
1556,172,13
1556,44195,13
1556,44665,13
1556,151,12
1556,7,12
1556,32587,12
1556,1747,12
1556,8368,12
1556,1350,12
1556,1729,12
1556,8529,12
1556,6016,12
1556,7147,12
1556,1953,12
1556,1262,12
1556,1371,12
1556,1374,12
1556,7458,12
1556,6365,12
1556,2100,12
1556,1276,12
1556,1282,12
1556,2105,12
1556,4995,12
1556,5952,12
1556,4979,12
1556,204,12
1556,5956,12
1556,1376,12
1556,4734,12
1556,4848,12
1556,4638,12
1556,355,12
1556,2393,12
1556,2094,12
1556,1234,12
1556,333,12
1556,2335,12
1556,185,12
1556,852,12
1556,45499,12
1556,3081,12
1556,910,12
1556,849,12
1556,3006,12
1556,3826,12
1556,3608,12
1556,3555,12
1556,546,12
1556,2722,12
1556,2599,12
1556,2724,12
1556,2431,12
1556,420,12
1556,431,12
1556,1094,12
1556,2423,12
1556,3994,12
1556,455,12
1556,376,12
1556,2288,12
1556,34162,12
1556,3354,12
1556,1037,12
1556,1084,12
1556,3285,12
1556,2471,11
1556,1257,11
1556,303,11
1556,1385,11
1556,1207,11
1556,3988,11
1556,4223,11
1556,1093,11
1556,743,11
1556,762,11
1556,3409,11
1556,3174,11
1556,3168,11
1556,48,11
1556,33794,11
1556,40819,11
1556,3020,11
1556,902,11
1556,34048,11
1556,719,11
1556,3499,11
1556,2657,11
1556,2694,11
1556,3300,11
1556,1199,11
1556,551,11
1556,2641,11
1556,2692,11
1556,1882,11
1556,5010,11
1556,1249,11
1556,300,11
1556,2490,11
1556,481,11
1556,3697,11
1556,968,11
1556,315,11
1556,2160,11
1556,2371,11
1556,4344,11
1556,1230,11
1556,2145,11
1556,1343,11
1556,1587,11
1556,30749,11
1556,8957,11
1556,235,11
1556,2087,11
1556,5630,11
1556,1801,11
1556,7254,11
1556,8622,11
1556,1441,11
1556,158,11
1556,30707,11
1556,1994,11
1556,112,11
1556,2248,10
1556,2243,10
1556,44191,10
1556,44199,10
1556,48516,10
1556,923,10
1556,36,10
1556,24,10
1556,196,10
1556,3039,10
1556,3000,10
1556,802,10
1556,1061,10
1556,2881,10
1556,953,10
1556,2791,10
1556,748,10
1556,2580,10
1556,3510,10
1556,3683,10
1556,3916,10
1556,2403,10
1556,2428,10
1556,2278,10
1556,4018,10
1556,382,10
1556,3535,10
1556,4776,10
1556,4718,10
1556,4643,10
1556,4720,10
1556,362,10
1556,2300,10
1556,317,10
1556,5377,10
1556,4571,10
1556,1967,10
1556,277,10
1556,1373,10
1556,6953,10
1556,1907,10
1556,1717,10
1556,3,10
1556,48774,10
1556,8950,10
1556,49272,10
1556,6378,10
1556,1918,10
1556,6942,10
1556,6870,10
1556,1962,10
1556,5064,10
1556,4447,10
1556,2076,10
1556,1378,10
1556,198,10
1556,5872,10
1556,5013,10
1556,1298,10
1556,4446,10
1556,2134,10
1556,2150,10
1556,4361,10
1556,3863,10
1556,3624,10
1556,3785,10
1556,647,10
1556,2717,10
1556,3160,10
1556,1020,10
1556,3317,10
1556,661,10
1556,2352,9
1556,1302,9
1556,5060,9
1556,1219,9
1556,327,9
1556,342,9
1556,4874,9
1556,4816,9
1556,2137,9
1556,1367,9
1556,6537,9
1556,1921,9
1556,8361,9
1556,8376,9
1556,33166,9
1556,8984,9
1556,1883,9
1556,7293,9
1556,261,9
1556,5810,9
1556,273,9
1556,6188,9
1556,1947,9
1556,1476,9
1556,1409,9
1556,2421,9
1556,1201,9
1556,1204,9
1556,2688,9
1556,2707,9
1556,3911,9
1556,2394,9
1556,3698,9
1556,1261,9
1556,441,9
1556,4128,9
1556,4299,9
1556,4321,9
1556,4239,9
1556,2541,9
1556,3421,9
1556,628,9
1556,3104,9
1556,3105,9
1556,2746,9
1556,3087,9
1556,1060,9
1556,1049,9
1556,616,9
1556,36529,9
1556,33679,9
1556,193,9
1556,186,9
1556,40815,9
1556,55820,9
1556,53996,9
1556,60,9
1556,52,9
1556,5,8
1556,160,8
1556,29,8
1556,6863,8
1556,1029,8
1556,1449,8
1556,1965,8
1556,1263,8
1556,2046,8
1556,5995,8
1556,282,8
1556,3148,8
1556,3108,8
1556,3100,8
1556,724,8
1556,2788,8
1556,2908,8
1556,3361,8
1556,610,8
1556,5903,8
1556,1321,8
1556,3424,8
1556,2067,8
1556,2140,8
1556,216,8
1556,880,8
1556,11,8
1556,1203,8
1556,2478,8
1556,1148,8
1556,1120,8
1556,8784,8
1556,30810,8
1556,1680,8
1556,60069,8
1556,63082,8
1556,46578,8
1556,45447,8
1556,45722,8
1556,41569,8
1556,2687,8
1556,2313,8
1556,2289,8
1556,532,8
1556,1019,8
1556,2581,8
1556,497,8
1556,4308,8
1556,2231,8
1556,2739,8
1556,3827,8
1556,307,8
1556,2324,8
1556,2340,8
1556,2384,8
1556,350,8
1556,4641,8
1556,1285,8
1556,4901,8
1556,1663,8
1556,41566,8
1556,491,8
1556,2944,7
1556,637,7
1556,3362,7
1556,837,7
1556,2872,7
1556,1186,7
1556,3275,7
1556,920,7
1556,866,7
1556,1293,7
1556,5618,7
1556,2064,7
1556,3254,7
1556,5945,7
1556,1372,7
1556,1267,7
1556,7143,7
1556,31,7
1556,135,7
1556,49530,7
1556,6947,7
1556,280,7
1556,7373,7
1556,1032,7
1556,6218,7
1556,2763,7
1556,1091,7
1556,1025,7
1556,3396,7
1556,799,7
1556,2951,7
1556,2723,7
1556,524,7
1556,3704,7
1556,4105,7
1556,509,7
1556,1252,7
1556,4855,7
1556,319,7
1556,1272,7
1556,1284,7
1556,1233,7
1556,531,7
1556,3745,7
1556,4014,7
1556,8528,7
1556,8464,7
1556,1358,7
1556,1356,7
1556,2528,7
1556,27773,7
1556,3967,7
1556,2420,7
1556,3969,7
1556,1500,7
1556,55765,7
1556,34405,7
1556,59315,7
1556,60684,7
1556,51662,7
1556,52973,7
1556,68157,6
1556,35836,6
1556,38061,6
1556,46976,6
1556,70286,6
1556,33004,6
1556,30793,6
1556,1674,6
1556,79,6
1556,372,6
1556,413,6
1556,2501,6
1556,2467,6
1556,78499,6
1556,79132,6
1556,72998,6
1556,1589,6
1556,107,6
1556,1952,6
1556,2018,6
1556,68358,6
1556,5673,6
1556,224,6
1556,1042,6
1556,913,6
1556,1022,6
1556,252,6
1556,14,6
1556,50872,6
1556,3210,6
1556,2125,6
1556,2116,6
1556,2108,6
1556,2085,6
1556,3363,6
1556,1287,6
1556,1271,6
1556,308,6
1556,4975,6
1556,4701,6
1556,345,6
1556,2948,6
1556,800,6
1556,1228,6
1556,1256,6
1556,562,6
1556,585,6
1556,3809,6
1556,515,6
1556,529,6
1556,535,6
1556,2186,6
1556,4235,6
1556,6373,6
1556,68954,6
1556,6807,6
1556,1957,5
1556,17,5
1556,48780,5
1556,18,5
1556,3072,5
1556,203,5
1556,215,5
1556,2013,5
1556,1077,5
1556,1960,5
1556,246,5
1556,2761,5
1556,922,5
1556,1405,5
1556,745,5
1556,1269,5
1556,2795,5
1556,56174,5
1556,30812,5
1556,73017,5
1556,54272,5
1556,71535,5
1556,1095,5
1556,8970,5
1556,1635,5
1556,1172,5
1556,1129,5
1556,432,5
1556,383,5
1556,53125,5
1556,56782,5
1556,56367,5
1556,64614,5
1556,48385,5
1556,230,5
1556,1041,5
1556,1299,5
1556,348,5
1556,1235,5
1556,2405,5
1556,2359,5
1556,1254,5
1556,4016,5
1556,1212,5
1556,1231,5
1556,914,5
1556,915,5
1556,899,5
1556,48394,5
1556,105,4
1556,54286,4
1556,54001,4
1556,39183,4
1556,838,4
1556,232,4
1556,47610,4
1556,225,4
1556,1958,4
1556,140,4
1556,1100,4
1556,1104,4
1556,783,4
1556,306,4
1556,1253,4
1556,2336,4
1556,2369,4
1556,3671,4
1556,1179,4
1556,2109,4
1556,1188,4
1556,741,4
1556,969,4
1556,45,4
1556,222,4
1556,1945,3
1556,1357,3
1556,31658,3
1556,276,3
1556,272,3
1556,265,3
1556,3060,3
1556,237,3
1556,236,3
1556,1982,3
1556,1296,3
1556,1223,3
1556,69757,3
1556,194,3
1556,468,3
1556,1245,3
1556,671,3
1556,2600,3
1556,538,3
1556,81845,3
1556,266,3
1556,2010,3
1556,720,3
1556,5015,3
1556,207,3
1556,898,3
1556,909,3
1556,1175,3
1556,2391,3
1556,51255,2
1556,1103,2
1556,44555,2
1556,54503,2
1556,69122,2
1556,58,2
1556,81591,2
1556,1086,2
1556,8641,2
1556,475,2
1556,2728,2
1556,2686,2
1556,2366,2
1556,994,2
1556,5971,2
1556,954,2
1556,80463,1
1556,162,1
1556,1185,1
1556,3504,1
1556,1411,1
1556,247,1
