target_user,other_user,No_common_users
50855,82418,13
50855,112988,12
50855,59702,11
50855,80746,10
50855,3318,10
50855,96608,10
50855,95993,10
50855,105498,9
50855,121930,9
50855,105580,9
50855,118754,9
50855,27041,9
50855,21664,9
50855,120379,9
50855,121484,9
50855,46470,9
50855,103018,9
50855,99360,9
50855,135090,9
50855,72146,9
50855,109291,8
50855,111317,8
50855,78308,8
50855,56978,8
50855,44111,8
50855,26067,8
50855,79333,8
50855,112008,8
50855,109156,8
50855,39579,8
50855,44531,8
50855,70770,8
50855,108028,8
50855,294,8
50855,41267,8
50855,128360,8
50855,114659,8
50855,10321,8
50855,60584,8
50855,26185,8
50855,42096,8
50855,13049,8
50855,75108,8
50855,58667,8
50855,128036,8
50855,95339,8
50855,62700,8
50855,62805,8
50855,33736,8
50855,92269,8
50855,86722,8
50855,84752,8
50855,138019,8
50855,68214,8
50855,4594,8
50855,133834,8
50855,83224,8
50855,82968,8
50855,25825,8
50855,131620,8
50855,40967,7
50855,9107,7
50855,7371,7
50855,106976,7
50855,68351,7
50855,22524,7
50855,45563,7
50855,58650,7
50855,1748,7
50855,1190,7
50855,127713,7
50855,129587,7
50855,46391,7
50855,109883,7
50855,56498,7
50855,26460,7
50855,118902,7
50855,42424,7
50855,111177,7
50855,104249,7
50855,54459,7
50855,29879,7
50855,119058,7
50855,80337,7
50855,57056,7
50855,56961,7
50855,25345,7
50855,77525,7
50855,81936,7
50855,104918,7
50855,4276,7
50855,126927,7
50855,80034,7
50855,11074,7
50855,56870,7
50855,11152,7
50855,102705,7
50855,102038,7
50855,11717,7
50855,61432,7
50855,99552,7
50855,99431,7
50855,29015,7
50855,75469,7
50855,41929,7
50855,32201,7
50855,23523,7
50855,68710,7
50855,96947,7
50855,120354,7
50855,39623,7
50855,95953,7
50855,95635,7
50855,120948,7
50855,115115,7
50855,80260,7
50855,94175,7
50855,94089,7
50855,93920,7
50855,55765,7
50855,63046,7
50855,74142,7
50855,586,7
50855,92011,7
50855,49824,7
50855,74028,7
50855,15718,7
50855,90912,7
50855,90138,7
50855,34651,7
50855,63950,7
50855,88887,7
50855,35227,7
50855,16938,7
50855,66317,7
50855,86656,7
50855,72983,7
50855,17602,7
50855,86301,7
50855,17736,7
50855,72839,7
50855,85654,7
50855,39497,7
50855,68161,7
50855,36427,7
50855,42929,7
50855,128224,7
50855,136054,7
50855,135984,7
50855,37253,7
50855,135418,7
50855,117617,7
50855,134870,7
50855,119367,7
50855,7321,7
50855,37842,7
50855,37890,7
50855,110858,7
50855,41517,7
50855,132275,7
50855,131836,7
50855,53468,7
50855,121535,7
50855,130987,7
50855,125311,6
50855,9947,6
50855,71121,6
50855,127138,6
50855,28340,6
50855,127826,6
50855,117961,6
50855,57406,6
50855,67033,6
50855,23866,6
50855,123148,6
50855,121436,6
50855,119531,6
50855,77124,6
50855,57093,6
50855,107164,6
50855,116033,6
50855,105757,6
50855,45096,6
50855,76486,6
50855,112538,6
50855,77884,6
50855,2161,6
50855,107579,6
50855,59852,6
50855,572,6
50855,128739,6
50855,27054,6
50855,27898,6
50855,23921,6
50855,56564,6
50855,67075,6
50855,128724,6
50855,23173,6
50855,6720,6
50855,121956,6
50855,128723,6
50855,1165,6
50855,9156,6
50855,125025,6
50855,80941,6
50855,125010,6
50855,9087,6
50855,59794,6
50855,40115,6
50855,60018,6
50855,66987,6
50855,127700,6
50855,126395,6
50855,42353,6
50855,42913,6
50855,29334,6
50855,107114,6
50855,24830,6
50855,28529,6
50855,66617,6
50855,22550,6
50855,124318,6
50855,107029,6
50855,80668,6
50855,66562,6
50855,77855,6
50855,111912,6
50855,26162,6
50855,27666,6
50855,118534,6
50855,23705,6
50855,42935,6
50855,30241,6
50855,67111,6
50855,39436,6
50855,46579,6
50855,69596,6
50855,103126,6
50855,5791,6
50855,113476,6
50855,102865,6
50855,46744,6
50855,41283,6
50855,11259,6
50855,46781,6
50855,60834,6
50855,11434,6
50855,3490,6
50855,11560,6
50855,114545,6
50855,11902,6
50855,31244,6
50855,67253,6
50855,100614,6
50855,100418,6
50855,100371,6
50855,99773,6
50855,29598,6
50855,116996,6
50855,99522,6
50855,99474,6
50855,110432,6
50855,130110,6
50855,99254,6
50855,61610,6
50855,116498,6
50855,12644,6
50855,75332,6
50855,61841,6
50855,61850,6
50855,1507,6
50855,116446,6
50855,48062,6
50855,98073,6
50855,97984,6
50855,32344,6
50855,57626,6
50855,97770,6
50855,97437,6
50855,74967,6
50855,97423,6
50855,81462,6
50855,13494,6
50855,62133,6
50855,77968,6
50855,23628,6
50855,96605,6
50855,96482,6
50855,32899,6
50855,107715,6
50855,104946,6
50855,13964,6
50855,32984,6
50855,95884,6
50855,95726,6
50855,46095,6
50855,76871,6
50855,95336,6
50855,67569,6
50855,67611,6
50855,94628,6
50855,6314,6
50855,33344,6
50855,33402,6
50855,94405,6
50855,14506,6
50855,94315,6
50855,8405,6
50855,67657,6
50855,53998,6
50855,49201,6
50855,14598,6
50855,49212,6
50855,56904,6
50855,94026,6
50855,107242,6
50855,114018,6
50855,39044,6
50855,92952,6
50855,92872,6
50855,44122,6
50855,63132,6
50855,92362,6
50855,49734,6
50855,55726,6
50855,3289,6
50855,34180,6
50855,15486,6
50855,59316,6
50855,34202,6
50855,63391,6
50855,15601,6
50855,15617,6
50855,91435,6
50855,3864,6
50855,7294,6
50855,49999,6
50855,90938,6
50855,67825,6
50855,110758,6
50855,67830,6
50855,34485,6
50855,63643,6
50855,15964,6
50855,90500,6
50855,36745,6
50855,67839,6
50855,16050,6
50855,66741,6
50855,111373,6
50855,73853,6
50855,50367,6
50855,73787,6
50855,89402,6
50855,57372,6
50855,89138,6
50855,16561,6
50855,121328,6
50855,50594,6
50855,88798,6
50855,35121,6
50855,88795,6
50855,120304,6
50855,43703,6
50855,88176,6
50855,64258,6
50855,17173,6
50855,87619,6
50855,86768,6
50855,39556,6
50855,2349,6
50855,1672,6
50855,68063,6
50855,125978,6
50855,51199,6
50855,4581,6
50855,51227,6
50855,86275,6
50855,86110,6
50855,54840,6
50855,4358,6
50855,17817,6
50855,116900,6
50855,85525,6
50855,64778,6
50855,85335,6
50855,69829,6
50855,18007,6
50855,85085,6
50855,84916,6
50855,84887,6
50855,64934,6
50855,18191,6
50855,125610,6
50855,79991,6
50855,72441,6
50855,54465,6
50855,18338,6
50855,51793,6
50855,18471,6
50855,138201,6
50855,138134,6
50855,10012,6
50855,137619,6
50855,137130,6
50855,137109,6
50855,44654,6
50855,136897,6
50855,136455,6
50855,83698,6
50855,136193,6
50855,71189,6
50855,114095,6
50855,135703,6
50855,111155,6
50855,56218,6
50855,135223,6
50855,135123,6
50855,37354,6
50855,119811,6
50855,134911,6
50855,41818,6
50855,134728,6
50855,78160,6
50855,108285,6
50855,83090,6
50855,22688,6
50855,123352,6
50855,132734,6
50855,66338,6
50855,110824,6
50855,132501,6
50855,110605,6
50855,132187,6
50855,132039,6
50855,59230,6
50855,25388,6
50855,20684,6
50855,117148,6
50855,131484,6
50855,10443,6
50855,82668,6
50855,20969,6
50855,53719,6
50855,82635,6
50855,130622,6
50855,72027,6
50855,41941,5
50855,124220,5
50855,108910,5
50855,71592,5
50855,118068,5
50855,119963,5
50855,105572,5
50855,56003,5
50855,108176,5
50855,124204,5
50855,114993,5
50855,2568,5
50855,41948,5
50855,24135,5
50855,117987,5
50855,65785,5
50855,25511,5
50855,5843,5
50855,54703,5
50855,40846,5
50855,122162,5
50855,105216,5
50855,1419,5
50855,122160,5
50855,122151,5
50855,4089,5
50855,54753,5
50855,7348,5
50855,42640,5
50855,79531,5
50855,80459,5
50855,123946,5
50855,54781,5
50855,126914,5
50855,81474,5
50855,112172,5
50855,80437,5
50855,112158,5
50855,117653,5
50855,29249,5
50855,77206,5
50855,42692,5
50855,7377,5
50855,44963,5
50855,111102,5
50855,3397,5
50855,117329,5
50855,77159,5
50855,2711,5
50855,119757,5
50855,105059,5
50855,40039,5
50855,6636,5
50855,46104,5
50855,1584,5
50855,27338,5
50855,78235,5
50855,126467,5
50855,69594,5
50855,126344,5
50855,5929,5
50855,2772,5
50855,117165,5
50855,6266,5
50855,5942,5
50855,22695,5
50855,113911,5
50855,9690,5
50855,110846,5
50855,56083,5
50855,54949,5
50855,23668,5
50855,126072,5
50855,123606,5
50855,113639,5
50855,3907,5
50855,55658,5
50855,1745,5
50855,104394,5
50855,1755,5
50855,108089,5
50855,40174,5
50855,80614,5
50855,43427,5
50855,107266,5
50855,119486,5
50855,4423,5
50855,109505,5
50855,76536,5
50855,30144,5
50855,103808,5
50855,103804,5
50855,103764,5
50855,58069,5
50855,103668,5
50855,24958,5
50855,103641,5
50855,4483,5
50855,103402,5
50855,46569,5
50855,119416,5
50855,46577,5
50855,27854,5
50855,76352,5
50855,103291,5
50855,30428,5
50855,46645,5
50855,115648,5
50855,66837,5
50855,30497,5
50855,130244,5
50855,109717,5
50855,102945,5
50855,21363,5
50855,76292,5
50855,125924,5
50855,40206,5
50855,130112,5
50855,125921,5
50855,102653,5
50855,6000,5
50855,102565,5
50855,46815,5
50855,102373,5
50855,79902,5
50855,102207,5
50855,70536,5
50855,102196,5
50855,130031,5
50855,30835,5
50855,102003,5
50855,11511,5
50855,123537,5
50855,61030,5
50855,101696,5
50855,61053,5
50855,61061,5
50855,114817,5
50855,101670,5
50855,61074,5
50855,31076,5
50855,101549,5
50855,61094,5
50855,61107,5
50855,11865,5
50855,101127,5
50855,11900,5
50855,43432,5
50855,110804,5
50855,61168,5
50855,75957,5
50855,100704,5
50855,125846,5
50855,120140,5
50855,100575,5
50855,47310,5
50855,12100,5
50855,100492,5
50855,120798,5
50855,28155,5
50855,100358,5
50855,12220,5
50855,100254,5
50855,27679,5
50855,56109,5
50855,99572,5
50855,123500,5
50855,99524,5
50855,82251,5
50855,47589,5
50855,75638,5
50855,99499,5
50855,1906,5
50855,43769,5
50855,114758,5
50855,99342,5
50855,67013,5
50855,31802,5
50855,55082,5
50855,99171,5
50855,75486,5
50855,66929,5
50855,12618,5
50855,23753,5
50855,12649,5
50855,61714,5
50855,12710,5
50855,98899,5
50855,98897,5
50855,31956,5
50855,9197,5
50855,12767,5
50855,31988,5
50855,67387,5
50855,75299,5
50855,12849,5
50855,12887,5
50855,12944,5
50855,98363,5
50855,66736,5
50855,98231,5
50855,57727,5
50855,13025,5
50855,44762,5
50855,119259,5
50855,13090,5
50855,13110,5
50855,113369,5
50855,119254,5
50855,258,5
50855,125650,5
50855,39085,5
50855,75105,5
50855,48156,5
50855,71315,5
50855,97656,5
50855,74991,5
50855,97569,5
50855,97559,5
50855,21496,5
50855,48232,5
50855,121612,5
50855,67473,5
50855,41085,5
50855,97358,5
50855,74966,5
50855,278,5
50855,39099,5
50855,97260,5
50855,123429,5
50855,96954,5
50855,71287,5
50855,32671,5
50855,96859,5
50855,96618,5
50855,298,5
50855,43565,5
50855,13791,5
50855,125621,5
50855,74654,5
50855,13849,5
50855,96244,5
50855,96136,5
50855,106444,5
50855,74604,5
50855,96024,5
50855,74586,5
50855,7780,5
50855,67064,5
50855,95923,5
50855,79437,5
50855,78473,5
50855,114753,5
50855,119121,5
50855,33052,5
50855,82195,5
50855,48736,5
50855,33082,5
50855,67563,5
50855,76557,5
50855,78413,5
50855,95301,5
50855,95239,5
50855,26582,5
50855,33182,5
50855,33190,5
50855,95149,5
50855,74403,5
50855,48940,5
50855,8449,5
50855,48964,5
50855,94652,5
50855,6349,5
50855,125447,5
50855,110706,5
50855,94608,5
50855,94520,5
50855,68759,5
50855,94464,5
50855,119091,5
50855,94449,5
50855,25810,5
50855,94386,5
50855,69426,5
50855,49099,5
50855,94331,5
50855,123297,5
50855,14519,5
50855,66601,5
50855,62779,5
50855,129159,5
50855,69036,5
50855,14544,5
50855,25823,5
50855,39181,5
50855,78644,5
50855,57969,5
50855,58612,5
50855,49229,5
50855,14678,5
50855,21619,5
50855,67676,5
50855,62897,5
50855,103986,5
50855,14808,5
50855,62984,5
50855,93547,5
50855,33713,5
50855,26198,5
50855,80099,5
50855,49465,5
50855,93177,5
50855,93024,5
50855,93007,5
50855,28192,5
50855,119054,5
50855,80954,5
50855,15138,5
50855,77816,5
50855,63192,5
50855,33981,5
50855,92485,5
50855,63244,5
50855,6099,5
50855,8035,5
50855,58785,5
50855,63295,5
50855,106922,5
50855,65902,5
50855,29693,5
50855,60210,5
50855,91709,5
50855,55844,5
50855,119664,5
50855,91668,5
50855,91632,5
50855,91544,5
50855,71436,5
50855,74036,5
50855,2158,5
50855,72008,5
50855,91400,5
50855,4775,5
50855,91376,5
50855,15684,5
50855,73940,5
50855,54236,5
50855,34350,5
50855,15720,5
50855,91193,5
50855,26337,5
50855,91172,5
50855,15753,5
50855,91096,5
50855,15768,5
50855,15781,5
50855,41215,5
50855,78937,5
50855,57775,5
50855,71975,5
50855,90861,5
50855,5623,5
50855,50138,5
50855,3629,5
50855,103973,5
50855,104014,5
50855,23180,5
50855,128527,5
50855,34576,5
50855,39346,5
50855,21850,5
50855,16075,5
50855,10269,5
50855,50213,5
50855,90045,5
50855,56847,5
50855,16174,5
50855,16216,5
50855,16231,5
50855,50274,5
50855,50297,5
50855,68814,5
50855,89714,5
50855,21860,5
50855,21861,5
50855,113073,5
50855,16398,5
50855,122968,5
50855,73687,5
50855,71881,5
50855,89021,5
50855,73607,5
50855,34981,5
50855,42366,5
50855,50545,5
50855,109124,5
50855,50567,5
50855,35066,5
50855,66174,5
50855,50603,5
50855,35109,5
50855,80874,5
50855,58170,5
50855,118632,5
50855,16784,5
50855,73303,5
50855,69934,5
50855,88641,5
50855,118555,5
50855,115252,5
50855,35244,5
50855,35258,5
50855,88408,5
50855,16978,5
50855,73198,5
50855,124967,5
50855,775,5
50855,35366,5
50855,87759,5
50855,59149,5
50855,792,5
50855,69896,5
50855,87428,5
50855,87416,5
50855,35483,5
50855,87406,5
50855,17250,5
50855,73074,5
50855,128354,5
50855,23262,5
50855,55304,5
50855,86529,5
50855,41635,5
50855,64572,5
50855,128309,5
50855,69868,5
50855,124918,5
50855,72932,5
50855,118510,5
50855,55312,5
50855,64638,5
50855,128258,5
50855,4022,5
50855,111407,5
50855,17726,5
50855,112943,5
50855,85988,5
50855,85942,5
50855,124904,5
50855,85893,5
50855,85829,5
50855,17808,5
50855,128220,5
50855,85770,5
50855,115226,5
50855,128203,5
50855,72801,5
50855,80533,5
50855,64785,5
50855,120048,5
50855,85155,5
50855,4031,5
50855,124775,5
50855,106906,5
50855,51542,5
50855,64843,5
50855,51558,5
50855,122609,5
50855,110227,5
50855,36250,5
50855,129042,5
50855,84806,5
50855,107109,5
50855,907,5
50855,44874,5
50855,18250,5
50855,51693,5
50855,36391,5
50855,65019,5
50855,25960,5
50855,7159,5
50855,39583,5
50855,84327,5
50855,68180,5
50855,2352,5
50855,36482,5
50855,18415,5
50855,24,5
50855,108608,5
50855,84108,5
50855,138208,5
50855,124722,5
50855,80484,5
50855,18590,5
50855,18611,5
50855,124580,5
50855,51965,5
50855,18670,5
50855,137883,5
50855,83968,5
50855,137805,5
50855,52004,5
50855,137764,5
50855,3179,5
50855,137501,5
50855,137377,5
50855,137343,5
50855,65182,5
50855,83949,5
50855,65185,5
50855,55389,5
50855,57815,5
50855,36869,5
50855,18877,5
50855,137037,5
50855,118277,5
50855,78810,5
50855,136875,5
50855,52225,5
50855,18968,5
50855,136754,5
50855,36948,5
50855,136521,5
50855,83783,5
50855,3197,5
50855,22178,5
50855,136376,5
50855,136268,5
50855,71764,5
50855,65257,5
50855,106226,5
50855,83658,5
50855,37116,5
50855,28457,5
50855,135937,5
50855,119542,5
50855,135519,5
50855,19310,5
50855,52502,5
50855,77630,5
50855,27199,5
50855,22231,5
50855,135196,5
50855,135138,5
50855,54531,5
50855,108984,5
50855,68341,5
50855,37422,5
50855,28629,5
50855,57653,5
50855,52688,5
50855,83417,5
50855,134774,5
50855,52739,5
50855,37530,5
50855,56221,5
50855,134663,5
50855,134535,5
50855,19716,5
50855,52775,5
50855,134456,5
50855,134401,5
50855,19836,5
50855,37695,5
50855,27210,5
50855,83260,5
50855,52981,5
50855,106737,5
50855,133703,5
50855,124440,5
50855,133700,5
50855,23411,5
50855,133515,5
50855,133410,5
50855,127719,5
50855,133365,5
50855,133332,5
50855,20203,5
50855,53113,5
50855,53122,5
50855,38031,5
50855,132959,5
50855,132941,5
50855,38082,5
50855,42540,5
50855,5092,5
50855,38148,5
50855,3259,5
50855,132586,5
50855,38198,5
50855,132509,5
50855,28467,5
50855,38222,5
50855,38243,5
50855,70992,5
50855,122342,5
50855,132073,5
50855,20574,5
50855,27222,5
50855,5102,5
50855,53426,5
