User,Rank,Item_ID,Title,Predicted_Rating,Method
AG73BVBKUOH22USSFJA5ZWL7AKXA,1,130688,"Energizer CR2032 Batteries, 3V Lithium Coin Cell 2032 Watch Battery,White (6 Count)",5.0,SVD (k=20)
AG73BVBKUOH22USSFJA5ZWL7AKXA,2,152134,GLOVEWORKS Industrial Black Nitrile Gloves,5.0,SVD (k=20)
AG73BVBKUOH22USSFJA5ZWL7AKXA,3,159364,"Glade Solid Air Freshener, Deodorizer for Home and Bathroom, Apple Cinnamon, 6 Oz, 12 Count",5.0,SVD (k=20)
AG73BVBKUOH22USSFJA5ZWL7AKXA,4,163117,Green Gobbler POWDER PLUNGER Toilet Bowl Clog Remover - 2 Pack Net WT 16.5 oz,5.0,SVD (k=20)
AG73BVBKUOH22USSFJA5ZWL7AKXA,5,172985,"Hefty Slider Jumbo Storage Bags, 2.5 Gallon Size, 12 Count",5.0,SVD (k=20)
AG73BVBKUOH22USSFJA5ZWL7AKXA,6,211217,"Lysol Disinfectant Spray, Crisp Linen, 19 Ounce, 3 Count",5.0,SVD (k=20)
AG73BVBKUOH22USSFJA5ZWL7AKXA,7,234306,"Muscle Milk Genuine Protein Shake, Chocolate, 25g Protein, 11 Fl Oz (Pack of 4)",5.0,SVD (k=20)
AG73BVBKUOH22USSFJA5ZWL7AKXA,8,256209,"PACIFIC PPE 2 Pairs Reusable Dishwashing Cleaning Gloves with Latex Free, Cotton Lining, Kitchen Gloves, Green, Medium",5.0,SVD (k=20)
AG73BVBKUOH22USSFJA5ZWL7AKXA,9,259631,Pacific Blue Select Multifold Premium 2-Ply Paper Towels by GP PRO (Georgia-Pacific); White; 21000; 125 Paper Towels Per Pack; 16 Packs Per Case,5.0,SVD (k=20)
AG73BVBKUOH22USSFJA5ZWL7AKXA,10,314985,"Sleep Mask for Men Women,Blocking Light Sleeping, Zero Eye Pressure& Adjustable Eye Covers with Elastic,3D Contoured Night Blindfold, Breathable & Soft for Travel/Nap/Shift Work",5.0,SVD (k=20)
AG73BVBKUOH22USSFJA5ZWL7AKXA,11,382049,"eneloop AA 1800 cycle, Ni-MH Pre-Charged Rechargeable Batteries, 8 Pack (discontinued by manufacturer)",4.9887,SVD (k=20)
AG73BVBKUOH22USSFJA5ZWL7AKXA,12,377631,"Ziploc Quart Food Storage Freezer Bags, Grip 'n Seal Technology for Easier Grip, Open, and Close, 75 Count",4.9727,SVD (k=20)
AG73BVBKUOH22USSFJA5ZWL7AKXA,13,61400,"Better Life All-Purpose Cleaner, Pomegranate, 32 Fl Oz (Pack of 2), Pomegranate, 64 Fl Oz",4.9717,SVD (k=20)
AG73BVBKUOH22USSFJA5ZWL7AKXA,14,306679,"Scrubbing Bubbles Toilet, Rainshower (2 dispensers + 30 Gel Discs), 6 Ounce, 6 Ounce",4.9655,SVD (k=20)
AG73BVBKUOH22USSFJA5ZWL7AKXA,15,90095,"Clif Bars White Chocolate Macadamia Nut Flavor, 2.40 Oz, 6 Ct",4.9635,SVD (k=20)
